HDBSCAN Clustering Analysis Summary
============================================================
Total statements: 154594
Vectorization method: tfidf
Number of clusters: 535
Number of noise points: 60427 (39.1%)
Analysis type: clusters
Timestamp: 2025-05-26 16:36:24

Dataset Distribution:
  PEC: 154594 statements

============================================================

Cluster Information:
  Cluster 449: 31 statements (persistence: 0.997)
  Cluster 469: 31 statements (persistence: 0.999)
  Cluster 482: 31 statements (persistence: 0.968)
  Cluster 502: 31 statements (persistence: 0.990)
  Cluster 515: 31 statements (persistence: 0.903)
  Cluster 61: 30 statements (persistence: 0.987)
  Cluster 64: 30 statements (persistence: 0.961)
  Cluster 67: 30 statements (persistence: 0.867)
  Cluster 82: 30 statements (persistence: 0.988)
  Cluster 147: 30 statements (persistence: 0.984)
  Cluster 204: 30 statements (persistence: 1.000)
  Cluster 320: 30 statements (persistence: 0.999)
  Cluster 325: 30 statements (persistence: 1.000)
  Cluster 391: 30 statements (persistence: 0.967)
  Cluster 453: 30 statements (persistence: 1.000)
  Cluster 473: 30 statements (persistence: 0.994)
  Cluster 486: 30 statements (persistence: 0.996)
  Cluster 39: 29 statements (persistence: 0.989)
  Cluster 157: 29 statements (persistence: 0.983)
  Cluster 286: 29 statements (persistence: 0.966)
  Cluster 337: 29 statements (persistence: 1.000)
  Cluster 389: 29 statements (persistence: 1.000)
  Cluster 397: 29 statements (persistence: 1.000)
  Cluster 398: 29 statements (persistence: 0.966)
  Cluster 485: 29 statements (persistence: 0.999)
  Cluster 498: 29 statements (persistence: 0.931)
  Cluster 504: 29 statements (persistence: 0.987)
  Cluster 508: 29 statements (persistence: 0.958)
  Cluster 514: 29 statements (persistence: 0.897)
  Cluster 30: 28 statements (persistence: 0.987)
  Cluster 49: 28 statements (persistence: 0.988)
  Cluster 62: 28 statements (persistence: 0.999)
  Cluster 96: 28 statements (persistence: 1.000)
  Cluster 137: 28 statements (persistence: 0.996)
  Cluster 143: 28 statements (persistence: 0.998)
  Cluster 200: 28 statements (persistence: 0.964)
  Cluster 214: 28 statements (persistence: 0.975)
  Cluster 251: 28 statements (persistence: 0.996)
  Cluster 294: 28 statements (persistence: 1.000)
  Cluster 310: 28 statements (persistence: 0.964)
  Cluster 409: 28 statements (persistence: 0.964)
  Cluster 410: 28 statements (persistence: 1.000)
  Cluster 435: 28 statements (persistence: 1.000)
  Cluster 442: 28 statements (persistence: 0.998)
  Cluster 455: 28 statements (persistence: 1.000)
  Cluster 459: 28 statements (persistence: 1.000)
  Cluster 462: 28 statements (persistence: 0.964)
  Cluster 467: 28 statements (persistence: 0.998)
  Cluster 507: 28 statements (persistence: 0.964)
  Cluster 528: 28 statements (persistence: 1.000)
  Cluster 532: 28 statements (persistence: 0.929)
  Cluster 68: 27 statements (persistence: 0.999)
  Cluster 160: 27 statements (persistence: 0.963)
  Cluster 173: 27 statements (persistence: 0.996)
  Cluster 192: 27 statements (persistence: 0.926)
  Cluster 266: 27 statements (persistence: 1.000)
  Cluster 298: 27 statements (persistence: 1.000)
  Cluster 330: 27 statements (persistence: 1.000)
  Cluster 341: 27 statements (persistence: 0.992)
  Cluster 424: 27 statements (persistence: 0.963)
  Cluster 484: 27 statements (persistence: 0.999)
  Cluster 493: 27 statements (persistence: 0.963)
  Cluster 500: 27 statements (persistence: 1.000)
  Cluster 520: 27 statements (persistence: 0.998)
  Cluster 70: 26 statements (persistence: 0.999)
  Cluster 87: 26 statements (persistence: 0.999)
  Cluster 376: 26 statements (persistence: 1.000)
  Cluster 379: 26 statements (persistence: 1.000)
  Cluster 456: 26 statements (persistence: 0.962)
  Cluster 458: 26 statements (persistence: 1.000)
