trial,vectorization,sample_size,min_cluster_size,min_samples,min_samples_ratio,avg_clusters,avg_noise_percentage,avg_silhouette,avg_cluster_size,total_datasets,successful_datasets
87,dense,200,10,5,0.5,4.0,69.85185866764813,-0.08774750679731369,1638.25,1,1
88,dense,400,20,10,0.5,12.0,95.15616999487968,0.2391979843378067,157.66666666666666,1,1
89,tfidf,100,6,4,0.7,216.0,63.11089059786653,0.4817032154571122,20.65277777777778,1,1
90,hybrid,200,8,5,0.7,226.0,43.494663231505335,0.24952992224588438,54.34513274336283,1,1
91,hybrid,200,12,8,0.7,38.0,94.16635995583364,0.20258415531437085,33.36842105263158,1,1
92,hybrid,100,6,4,0.7,188.0,46.547589514595224,0.27094802550900726,34.38297872340426,1,1
93,hybrid,400,16,8,0.5,31.0,93.98873527905785,0.19417152885719854,75.74193548387096,1,1
94,tfidf,200,12,12,1.0,174.0,51.131762973868234,0.523705706803882,61.04597701149425,1,1
95,dense,100,5,3,0.7,2.0,34.05275779376499,0.001091512618586421,3987.5,1,1
96,dense,200,20,10,0.5,9.0,94.93927125506073,0.24383947253227234,122.22222222222223,1,1
97,tfidf,200,20,10,0.5,126.0,45.808796466691206,0.4689373671150246,93.48412698412699,1,1
98,tfidf,500,10,5,0.5,414.0,62.21195198664869,0.437850091977779,42.65942028985507,1,1
99,tfidf,200,10,7,0.7,178.0,59.28413691571587,0.4898725988749298,49.71910112359551,1,1
100,tfidf,400,40,40,1.0,69.0,53.30773169482846,0.5131140021441298,264.3188405797101,1,1
