Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension,Dataset_Distribution,trial,vectorization,sample_size,min_cluster_size_ratio,min_cluster_size,min_samples,min_samples_ratio,tfidf_weight,pca_components,clustering_mode
Combined,12093,42,10975,90.75498222111965,26.61904761904762,0.10661251842975616,48,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",31,dense,100,0.06,6,4,0.7,,48,combined
Combined,21736,24,20262,93.21862348178138,61.416666666666664,0.16139981150627136,48,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",32,dense,200,0.05,10,5,0.5,,48,combined
Combined,39060,22,32337,82.78801843317972,305.59090909090907,0.2916589430196323,16,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",33,hybrid,400,0.05,20,14,0.7,0.5,16,combined
Combined,39060,105,25028,64.0757808499744,133.63809523809525,0.19587395503434335,16,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",34,hybrid,400,0.03,12,8,0.7,0.9,16,combined
Combined,46737,267,28018,59.94822089565013,70.10861423220973,0.5393347820602826,32,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",35,tfidf,500,0.03,15,15,1.0,,32,combined
Combined,30553,792,16384,53.62484862370307,17.890151515151516,0.4399821481212276,48,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",36,tfidf,300,0.02,6,3,0.5,,48,combined
Combined,12093,353,6608,54.64318200611924,15.538243626062323,0.4697167879763532,32,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",37,tfidf,100,0.03,5,3,0.7,,32,combined
Combined,46737,4,45148,96.60012409867986,397.25,0.2996765077114105,32,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",38,dense,500,0.06,30,30,1.0,,32,combined
Combined,21736,242,11785,54.218807508281195,41.1198347107438,0.48851083506362886,32,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",39,tfidf,200,0.05,10,5,0.5,,32,combined
Combined,21736,19,20511,94.36418844313582,64.47368421052632,0.21854856610298157,32,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",40,dense,200,0.04,8,8,1.0,,32,combined
