trial,vectorization,sample_size,min_cluster_size,min_samples,min_samples_ratio,avg_clusters,avg_noise_percentage,avg_silhouette,avg_cluster_size,total_datasets,successful_datasets
81,tfidf,500,25,25,1.0,26.571428571428573,54.72354418627934,0.5746165963227611,87.79673805726439,7,7
82,hybrid,400,8,5,0.7,11.571428571428571,77.9329813737438,0.177446933146823,523.3155645121162,7,7
83,dense,400,20,20,1.0,2.857142857142857,84.6104919746325,0.2092693724802562,217.2047619047619,7,7
84,tfidf,400,40,20,0.5,16.142857142857142,28.63042292043044,0.5263774207923902,208.44324325371008,7,7
85,tfidf,500,20,20,1.0,31.714285714285715,53.21752483284354,0.5850542179357416,74.58186813186815,7,7
86,dense,500,5,5,1.0,17.571428571428573,64.9692941670346,0.1410701179078647,966.0665881737311,7,7
87,hybrid,200,20,14,0.7,21.571428571428573,60.864364745062566,0.34761661072903,63.08395292650612,7,7
88,dense,500,15,7,0.5,6.857142857142857,80.87831489128057,0.24656922263758524,94.97414965986393,7,7
89,tfidf,200,10,5,0.5,47.0,43.29383480969837,0.33733650208378163,30.66419659732266,7,7
90,tfidf,300,9,4,0.5,74.0,36.91577183617431,0.4227993421770151,26.937995136838115,7,7
91,tfidf,300,6,6,1.0,95.28571428571429,40.13019252440064,0.5013235568946621,20.029357071702545,7,7
92,dense,750,22,15,0.7,3.7142857142857144,88.87719027842199,0.16687743259327753,153.03333333333333,7,7
93,tfidf,300,30,30,1.0,17.142857142857142,51.61052738787818,0.5511166981485808,121.60595445776683,7,7
94,hybrid,200,20,14,0.7,7.142857142857143,76.67991740791605,0.20570738307284536,70.11596638655462,7,7
95,hybrid,750,37,25,0.7,20.142857142857142,75.77591162670832,0.23376014309586549,104.46633993498877,7,7
96,tfidf,300,15,15,1.0,30.142857142857142,51.82952977333058,0.5804844996637496,53.956179874547225,7,7
97,tfidf,400,16,16,1.0,37.857142857142854,52.52829896050721,0.49884823429758923,62.11580025227984,7,7
98,dense,750,7,7,1.0,9.857142857142858,84.90999603644869,0.15547531111431973,445.01850649350644,7,7
99,hybrid,200,10,10,1.0,11.714285714285714,75.24116055987382,0.2688252124879949,41.7031179138322,7,7
100,tfidf,500,10,7,0.7,71.0,48.98995014381692,0.5367937911686502,35.48840806053222,7,7
