Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension,trial,vectorization,sample_size,min_cluster_size_ratio,min_cluster_size,min_samples,min_samples_ratio,tfidf_weight,pca_components,clustering_mode
PersonaChat,426,0,426,100.0,0.0,-1.0,32,72,hybrid,200,0.1,20,14,0.7,0.3,32,separate
SyntheticPersonaChat,475,0,475,100.0,0.0,-1.0,32,72,hybrid,200,0.1,20,14,0.7,0.3,32,separate
MSC,718,2,620,86.35097493036211,49.0,0.059678345848289995,32,72,hybrid,200,0.1,20,14,0.7,0.3,32,separate
PEC,11258,2,9742,86.53402025226505,758.0,0.10152307694087126,32,72,hybrid,200,0.1,20,14,0.7,0.3,32,separate
FoCus,495,0,495,100.0,0.0,-1.0,32,72,hybrid,200,0.1,20,14,0.7,0.3,32,separate
MPChat,1462,3,1333,91.17647058823529,43.0,0.14047884014996245,32,72,hybrid,200,0.1,20,14,0.7,0.3,32,separate
PER-CHAT,8359,8,7830,93.67149180523985,66.125,0.2574211515132764,32,72,hybrid,200,0.1,20,14,0.7,0.3,32,separate
PersonaChat,692,2,179,25.86705202312139,256.5,0.588956837090099,16,73,tfidf,400,0.1,40,20,0.5,,16,separate
SyntheticPersonaChat,759,4,102,13.438735177865613,164.25,0.5843243378269987,16,73,tfidf,400,0.1,40,20,0.5,,16,separate
MSC,1245,3,351,28.19277108433735,298.0,0.516210464904997,16,73,tfidf,400,0.1,40,20,0.5,,16,separate
PEC,20479,53,8061,39.36227354851311,234.30188679245282,0.5111297606292121,16,73,tfidf,400,0.1,40,20,0.5,,16,separate
FoCus,813,6,179,22.01722017220172,105.66666666666667,0.42963899898878083,16,73,tfidf,400,0.1,40,20,0.5,,16,separate
MPChat,2597,16,710,27.33923758182518,117.9375,0.6181952167245829,16,73,tfidf,400,0.1,40,20,0.5,,16,separate
PER-CHAT,15536,27,8366,53.8491246138002,265.55555555555554,0.5279205393340435,16,73,tfidf,400,0.1,40,20,0.5,,16,separate
PersonaChat,692,5,501,72.39884393063583,38.2,0.16362233459949493,32,74,dense,400,0.03,12,6,0.5,,32,separate
SyntheticPersonaChat,759,5,583,76.81159420289855,35.2,0.1689002513885498,32,74,dense,400,0.03,12,6,0.5,,32,separate
MSC,1245,7,1038,83.37349397590361,29.571428571428573,0.19003134965896606,32,74,dense,400,0.03,12,6,0.5,,32,separate
PEC,20479,2,17361,84.7746471995703,1559.0,0.005855484865605831,32,74,dense,400,0.03,12,6,0.5,,32,separate
FoCus,813,6,611,75.15375153751538,33.666666666666664,0.2021922469139099,32,74,dense,400,0.03,12,6,0.5,,32,separate
MPChat,2597,7,2053,79.0527531767424,77.71428571428571,0.13535524904727936,32,74,dense,400,0.03,12,6,0.5,,32,separate
PER-CHAT,15536,11,13427,86.4250772399588,191.72727272727272,0.24976089596748352,32,74,dense,400,0.03,12,6,0.5,,32,separate
PersonaChat,981,6,546,55.65749235474006,72.5,0.538726362841482,48,75,tfidf,750,0.03,22,11,0.5,,48,separate
SyntheticPersonaChat,1045,8,437,41.81818181818181,76.0,0.4514663268640044,48,75,tfidf,750,0.03,22,11,0.5,,48,separate
MSC,1898,14,799,42.096944151738676,78.5,0.3836129306398663,48,75,tfidf,750,0.03,22,11,0.5,,48,separate
PEC,33064,195,17643,53.36015001209775,79.08205128205128,0.5189362521337658,48,75,tfidf,750,0.03,22,11,0.5,,48,separate
FoCus,1270,15,443,34.881889763779526,55.13333333333333,0.4563410074963424,48,75,tfidf,750,0.03,22,11,0.5,,48,separate
MPChat,4177,45,1947,46.61240124491262,49.55555555555556,0.3359666591748704,48,75,tfidf,750,0.03,22,11,0.5,,48,separate
PER-CHAT,26941,77,17191,63.8098066144538,126.62337662337663,0.49043911066839035,48,75,tfidf,750,0.03,22,11,0.5,,48,separate
PersonaChat,426,2,39,9.15492957746479,193.5,-0.010271736420691013,32,76,dense,200,0.03,6,3,0.5,,32,separate
SyntheticPersonaChat,475,2,65,13.684210526315791,205.0,-0.012478707358241081,32,76,dense,200,0.03,6,3,0.5,,32,separate
MSC,718,12,434,60.44568245125348,23.666666666666668,0.11058160662651062,32,76,dense,200,0.03,6,3,0.5,,32,separate
PEC,11258,2,4119,36.587315686622844,3569.5,0.0028493357822299004,32,76,dense,200,0.03,6,3,0.5,,32,separate
FoCus,495,14,316,63.83838383838384,12.785714285714286,0.10764136165380478,32,76,dense,200,0.03,6,3,0.5,,32,separate
MPChat,1462,2,691,47.264021887824896,385.5,0.018908850848674774,32,76,dense,200,0.03,6,3,0.5,,32,separate
PER-CHAT,8359,63,6419,76.79148223471707,30.793650793650794,0.10122860968112946,32,76,dense,200,0.03,6,3,0.5,,32,separate
PersonaChat,692,41,203,29.335260115606935,11.926829268292684,0.265995172533395,32,77,hybrid,400,0.01,5,3,0.7,0.9,32,separate
SyntheticPersonaChat,759,41,219,28.85375494071146,13.170731707317072,0.2798262778058765,32,77,hybrid,400,0.01,5,3,0.7,0.9,32,separate
MSC,1245,47,412,33.092369477911646,17.72340425531915,0.21687780966551992,32,77,hybrid,400,0.01,5,3,0.7,0.9,32,separate
PEC,20479,416,8219,40.13379559548806,29.471153846153847,0.14155557898156973,32,77,hybrid,400,0.01,5,3,0.7,0.9,32,separate
FoCus,813,47,161,19.803198031980322,13.872340425531915,0.3816001702666428,32,77,hybrid,400,0.01,5,3,0.7,0.9,32,separate
MPChat,2597,92,982,37.81286099345398,17.554347826086957,0.2720240871040291,32,77,hybrid,400,0.01,5,3,0.7,0.9,32,separate
PER-CHAT,15536,339,8699,55.99253347064882,20.168141592920353,0.2962801695598601,32,77,hybrid,400,0.01,5,3,0.7,0.9,32,separate
PersonaChat,981,2,363,37.00305810397553,309.0,0.649000626724835,16,78,tfidf,750,0.1,75,52,0.7,,16,separate
SyntheticPersonaChat,1045,2,336,32.15311004784689,354.5,0.6750072195913545,16,78,tfidf,750,0.1,75,52,0.7,,16,separate
MSC,1898,4,631,33.24552160168599,316.75,0.5897468586287743,16,78,tfidf,750,0.1,75,52,0.7,,16,separate
PEC,33064,38,12466,37.70263730946044,542.0526315789474,0.5259361111237651,16,78,tfidf,750,0.1,75,52,0.7,,16,separate
FoCus,1270,5,365,28.74015748031496,181.0,0.5263986485225677,16,78,tfidf,750,0.1,75,52,0.7,,16,separate
MPChat,4177,12,1356,32.46349054345224,235.08333333333334,0.6732721998345765,16,78,tfidf,750,0.1,75,52,0.7,,16,separate
PER-CHAT,26941,22,13559,50.32849560149957,608.2727272727273,0.5642672034041211,16,78,tfidf,750,0.1,75,52,0.7,,16,separate
PersonaChat,981,36,390,39.75535168195719,16.416666666666668,0.5832579889154655,16,79,tfidf,750,0.01,7,4,0.7,,16,separate
SyntheticPersonaChat,1045,35,418,40.0,17.914285714285715,0.6228232792861125,16,79,tfidf,750,0.01,7,4,0.7,,16,separate
MSC,1898,42,927,48.840885142255004,23.11904761904762,0.4970991461721731,16,79,tfidf,750,0.01,7,4,0.7,,16,separate
PEC,33064,535,19874,60.107669973384944,24.654205607476637,0.4424920051646102,16,79,tfidf,750,0.01,7,4,0.7,,16,separate
FoCus,1270,48,403,31.73228346456693,18.0625,0.7321517184361112,16,79,tfidf,750,0.01,7,4,0.7,,16,separate
MPChat,4177,75,2153,51.54417045726598,26.986666666666668,0.42592538974392313,16,79,tfidf,750,0.01,7,4,0.7,,16,separate
PER-CHAT,26941,330,15519,57.603652425670916,34.61212121212121,0.3579674022588611,16,79,tfidf,750,0.01,7,4,0.7,,16,separate
PersonaChat,426,24,179,42.01877934272301,10.291666666666666,0.16359105706214905,16,80,dense,200,0.01,5,2,0.5,,16,separate
SyntheticPersonaChat,475,23,222,46.73684210526316,11.0,0.17483378946781158,16,80,dense,200,0.01,5,2,0.5,,16,separate
MSC,718,26,333,46.37883008356546,14.807692307692308,0.12155521661043167,16,80,dense,200,0.01,5,2,0.5,,16,separate
PEC,11258,331,8045,71.46029490140344,9.706948640483384,0.06806127727031708,16,80,dense,200,0.01,5,2,0.5,,16,separate
FoCus,495,21,253,51.11111111111111,11.523809523809524,0.1742965430021286,16,80,dense,200,0.01,5,2,0.5,,16,separate
MPChat,1462,2,49,3.3515731874145005,706.5,0.02539578080177307,16,80,dense,200,0.01,5,2,0.5,,16,separate
PER-CHAT,8359,207,5700,68.18997487737768,12.845410628019323,0.09824021905660629,16,80,dense,200,0.01,5,2,0.5,,16,separate
PersonaChat,786,6,501,63.74045801526718,47.5,0.6159537153384176,16,81,tfidf,500,0.05,25,25,1.0,,16,separate
SyntheticPersonaChat,864,6,529,61.22685185185185,55.833333333333336,0.654295903827203,16,81,tfidf,500,0.05,25,25,1.0,,16,separate
MSC,1455,11,843,57.938144329896915,55.63636363636363,0.4265066053523624,16,81,tfidf,500,0.05,25,25,1.0,,16,separate
