Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension,trial,vectorization,sample_size,min_cluster_size_ratio,min_cluster_size,min_samples,min_samples_ratio,tfidf_weight,pca_components,clustering_mode
PersonaChat,981,9,599,61.060142711518864,42.44444444444444,0.4981066805026407,32,1,tfidf,750,0.02,15,15,1.0,,32,separate
SyntheticPersonaChat,1045,14,624,59.71291866028709,30.071428571428573,0.6101180296826153,32,1,tfidf,750,0.02,15,15,1.0,,32,separate
MSC,1898,25,1075,56.63856691253951,32.92,0.4784456405461382,32,1,tfidf,750,0.02,15,15,1.0,,32,separate
PEC,33064,234,17533,53.02746189208807,66.37179487179488,0.5408228623629162,32,1,tfidf,750,0.02,15,15,1.0,,32,separate
FoCus,1270,21,532,41.88976377952756,35.142857142857146,0.6331627240063407,32,1,tfidf,750,0.02,15,15,1.0,,32,separate
MPChat,4177,45,1811,43.35647593966962,52.577777777777776,0.43298269362758285,32,1,tfidf,750,0.02,15,15,1.0,,32,separate
PER-CHAT,26941,97,17082,63.40521881147693,101.63917525773196,0.4934765295898053,32,1,tfidf,750,0.02,15,15,1.0,,32,separate
PersonaChat,981,5,624,63.608562691131496,71.4,0.399282859168062,32,2,hybrid,750,0.04,30,21,0.7,0.9,32,separate
SyntheticPersonaChat,1045,4,740,70.81339712918661,76.25,0.44380016259249677,32,2,hybrid,750,0.04,30,21,0.7,0.9,32,separate
MSC,1898,10,936,49.31506849315068,96.2,0.20833916879976278,32,2,hybrid,750,0.04,30,21,0.7,0.9,32,separate
PEC,33064,90,14459,43.73034115654488,206.72222222222223,0.3236121765118892,32,2,hybrid,750,0.04,30,21,0.7,0.9,32,separate
FoCus,1270,8,614,48.346456692913385,82.0,0.4254822731530848,32,2,hybrid,750,0.04,30,21,0.7,0.9,32,separate
MPChat,4177,32,2034,48.69523581517836,66.96875,0.3566918042537877,32,2,hybrid,750,0.04,30,21,0.7,0.9,32,separate
PER-CHAT,26941,48,17581,65.25741434987566,195.0,0.35590845615377525,32,2,hybrid,750,0.04,30,21,0.7,0.9,32,separate
PersonaChat,981,0,981,100.0,0.0,-1.0,48,3,dense,750,0.1,75,52,0.7,,48,separate
SyntheticPersonaChat,1045,0,1045,100.0,0.0,-1.0,48,3,dense,750,0.1,75,52,0.7,,48,separate
MSC,1898,2,1694,89.2518440463646,102.0,0.18574078381061554,48,3,dense,750,0.1,75,52,0.7,,48,separate
PEC,33064,3,32210,97.41713041374305,284.6666666666667,0.12973275780677795,48,3,dense,750,0.1,75,52,0.7,,48,separate
FoCus,1270,0,1270,100.0,0.0,-1.0,48,3,dense,750,0.1,75,52,0.7,,48,separate
MPChat,4177,2,3825,91.5728992099593,176.0,0.13356514275074005,48,3,dense,750,0.1,75,52,0.7,,48,separate
PER-CHAT,26941,4,24406,90.59054971975799,633.75,0.27253013849258423,48,3,dense,750,0.1,75,52,0.7,,48,separate
PersonaChat,426,7,316,74.17840375586854,15.714285714285714,0.3469546358613737,32,4,hybrid,200,0.05,10,10,1.0,0.7,32,separate
SyntheticPersonaChat,475,9,315,66.3157894736842,17.77777777777778,0.27736211711698905,32,4,hybrid,200,0.05,10,10,1.0,0.7,32,separate
MSC,718,13,461,64.20612813370474,19.76923076923077,0.2596044728805516,32,4,hybrid,200,0.05,10,10,1.0,0.7,32,separate
PEC,11258,53,6305,56.004618937644345,93.45283018867924,0.24455116050647938,32,4,hybrid,200,0.05,10,10,1.0,0.7,32,separate
FoCus,495,9,300,60.60606060606061,21.666666666666668,0.3055539557300627,32,4,hybrid,200,0.05,10,10,1.0,0.7,32,separate
MPChat,1462,31,859,58.755129958960325,19.451612903225808,0.39033518830987735,32,4,hybrid,200,0.05,10,10,1.0,0.7,32,separate
PER-CHAT,8359,36,5944,71.10898432826893,67.08333333333333,0.2969717581605008,32,4,hybrid,200,0.05,10,10,1.0,0.7,32,separate
PersonaChat,426,30,137,32.159624413145536,9.633333333333333,0.053473103102581895,48,5,hybrid,200,0.02,5,2,0.5,0.3,48,separate
SyntheticPersonaChat,475,31,178,37.473684210526315,9.580645161290322,0.051507828417234,48,5,hybrid,200,0.02,5,2,0.5,0.3,48,separate
MSC,718,40,334,46.51810584958218,9.6,0.07140455066482554,48,5,hybrid,200,0.02,5,2,0.5,0.3,48,separate
PEC,11258,284,8024,71.27376088115118,11.387323943661972,0.04456691866385762,48,5,hybrid,200,0.02,5,2,0.5,0.3,48,separate
FoCus,495,25,231,46.666666666666664,10.56,0.037073264777679735,48,5,hybrid,200,0.02,5,2,0.5,0.3,48,separate
MPChat,1462,57,772,52.804377564979475,12.105263157894736,0.03910256995084686,48,5,hybrid,200,0.02,5,2,0.5,0.3,48,separate
PER-CHAT,8359,240,5959,71.28843163057782,10.0,0.037069908527751876,48,5,hybrid,200,0.02,5,2,0.5,0.3,48,separate
PersonaChat,692,32,269,38.872832369942195,13.21875,0.08325100690126419,32,6,dense,400,0.01,5,2,0.5,,32,separate
SyntheticPersonaChat,759,33,413,54.413702239789195,10.484848484848484,0.12107701599597931,32,6,dense,400,0.01,5,2,0.5,,32,separate
MSC,1245,47,766,61.52610441767068,10.191489361702128,0.13274821639060974,32,6,dense,400,0.01,5,2,0.5,,32,separate
PEC,20479,2,2063,10.07373406904634,9208.0,-0.014814920723438263,32,6,dense,400,0.01,5,2,0.5,,32,separate
FoCus,813,36,456,56.08856088560885,9.916666666666666,0.10238927602767944,32,6,dense,400,0.01,5,2,0.5,,32,separate
MPChat,2597,2,110,4.235656526761648,1243.5,0.0002629829687066376,32,6,dense,400,0.01,5,2,0.5,,32,separate
PER-CHAT,15536,2,427,2.748455200823893,7554.5,-0.027277572080492973,32,6,dense,400,0.01,5,2,0.5,,32,separate
PersonaChat,692,11,365,52.74566473988439,29.727272727272727,0.484332218291265,32,7,tfidf,400,0.03,12,6,0.5,,32,separate
SyntheticPersonaChat,759,14,365,48.08959156785244,28.142857142857142,0.5367745903981862,32,7,tfidf,400,0.03,12,6,0.5,,32,separate
MSC,1245,24,672,53.975903614457835,23.875,0.48636301750564953,32,7,tfidf,400,0.03,12,6,0.5,,32,separate
PEC,20479,210,9848,48.0882855608184,50.62380952380953,0.5034968799194716,32,7,tfidf,400,0.03,12,6,0.5,,32,separate
FoCus,813,18,334,41.08241082410824,26.61111111111111,0.5963855287755129,32,7,tfidf,400,0.03,12,6,0.5,,32,separate
MPChat,2597,44,1077,41.47092799383905,34.54545454545455,0.36283983738643744,32,7,tfidf,400,0.03,12,6,0.5,,32,separate
PER-CHAT,15536,93,8615,55.45185375901133,74.41935483870968,0.4664866554271279,32,7,tfidf,400,0.03,12,6,0.5,,32,separate
PersonaChat,426,40,96,22.535211267605636,8.25,0.2850320634732907,48,8,hybrid,200,0.01,5,2,0.5,0.9,48,separate
SyntheticPersonaChat,475,39,98,20.63157894736842,9.666666666666666,0.23230230507204244,48,8,hybrid,200,0.01,5,2,0.5,0.9,48,separate
MSC,718,53,178,24.79108635097493,10.18867924528302,0.15639305911348234,48,8,hybrid,200,0.01,5,2,0.5,0.9,48,separate
PEC,11258,339,3790,33.66494936933736,22.029498525073745,0.19370732236023178,48,8,hybrid,200,0.01,5,2,0.5,0.9,48,separate
FoCus,495,41,75,15.151515151515152,10.24390243902439,0.3748304847340809,48,8,hybrid,200,0.01,5,2,0.5,0.9,48,separate
MPChat,1462,76,503,34.404924760601915,12.618421052631579,0.18443504062654115,48,8,hybrid,200,0.01,5,2,0.5,0.9,48,separate
PER-CHAT,8359,175,4621,55.28173226462495,21.36,0.2423400901166213,48,8,hybrid,200,0.01,5,2,0.5,0.9,48,separate
PersonaChat,786,46,287,36.51399491094148,10.847826086956522,0.642877509388814,16,9,tfidf,500,0.01,5,3,0.7,,16,separate
SyntheticPersonaChat,864,41,334,38.657407407407405,12.926829268292684,0.6962297158847714,16,9,tfidf,500,0.01,5,3,0.7,,16,separate
MSC,1455,59,654,44.948453608247426,13.576271186440678,0.40832207168893264,16,9,tfidf,500,0.01,5,3,0.7,,16,separate
PEC,24320,607,14213,58.44161184210527,16.650741350906095,0.42849177052853354,16,9,tfidf,500,0.01,5,3,0.7,,16,separate
FoCus,950,54,267,28.10526315789474,12.648148148148149,0.7327058735125512,16,9,tfidf,500,0.01,5,3,0.7,,16,separate
MPChat,3015,94,1389,46.069651741293534,17.29787234042553,0.3820746619698094,16,9,tfidf,500,0.01,5,3,0.7,,16,separate
PER-CHAT,19148,424,10193,53.232713599331525,21.120283018867923,0.31817746962611587,16,9,tfidf,500,0.01,5,3,0.7,,16,separate
PersonaChat,981,5,254,25.891946992864423,145.4,0.6591844262150662,16,10,tfidf,750,0.05,37,37,1.0,,16,separate
SyntheticPersonaChat,1045,4,255,24.401913875598087,197.5,0.697513942643284,16,10,tfidf,750,0.05,37,37,1.0,,16,separate
MSC,1898,10,603,31.770284510010537,129.5,0.6166009637205024,16,10,tfidf,750,0.05,37,37,1.0,,16,separate
PEC,33064,82,15222,46.037986934430194,217.58536585365854,0.5564303670168443,16,10,tfidf,750,0.05,37,37,1.0,,16,separate
FoCus,1270,9,614,48.346456692913385,72.88888888888889,0.520752629109659,16,10,tfidf,750,0.05,37,37,1.0,,16,separate
MPChat,4177,20,1868,44.72109169260234,115.45,0.6197794842665706,16,10,tfidf,750,0.05,37,37,1.0,,16,separate
PER-CHAT,26941,41,13814,51.27500835158308,320.1707317073171,0.5486715873474431,16,10,tfidf,750,0.05,37,37,1.0,,16,separate
PersonaChat,786,8,620,78.88040712468194,20.75,0.20709019590067945,16,11,hybrid,500,0.02,10,10,1.0,0.3,16,separate
SyntheticPersonaChat,864,7,694,80.32407407407408,24.285714285714285,0.21923888967112712,16,11,hybrid,500,0.02,10,10,1.0,0.3,16,separate
MSC,1455,6,1287,88.45360824742268,28.0,0.2959977773516548,16,11,hybrid,500,0.02,10,10,1.0,0.3,16,separate
PEC,24320,24,23125,95.08634868421053,49.791666666666664,0.20530827788933273,16,11,hybrid,500,0.02,10,10,1.0,0.3,16,separate
FoCus,950,9,796,83.78947368421052,17.11111111111111,0.24781142361348923,16,11,hybrid,500,0.02,10,10,1.0,0.3,16,separate
MPChat,3015,7,2717,90.11608623548922,42.57142857142857,0.16105318764638227,16,11,hybrid,500,0.02,10,10,1.0,0.3,16,separate
PER-CHAT,19148,20,17658,92.21850846041362,74.5,0.2725746107630391,16,11,hybrid,500,0.02,10,10,1.0,0.3,16,separate
PersonaChat,981,9,484,49.33741080530071,55.22222222222222,0.46053837201557274,48,12,tfidf,750,0.02,15,7,0.5,,48,separate
SyntheticPersonaChat,1045,10,660,63.1578947368421,38.5,0.5260247321572317,48,12,tfidf,750,0.02,15,7,0.5,,48,separate
MSC,1898,31,1019,53.68809272918862,28.35483870967742,0.39381466996789627,48,12,tfidf,750,0.02,15,7,0.5,,48,separate
PEC,33064,307,16955,51.279337043309944,52.472312703583064,0.5161314909800346,48,12,tfidf,750,0.02,15,7,0.5,,48,separate
FoCus,1270,22,542,42.67716535433071,33.09090909090909,0.5193358079174042,48,12,tfidf,750,0.02,15,7,0.5,,48,separate
MPChat,4177,61,1748,41.84821642327029,39.81967213114754,0.35965584929753347,48,12,tfidf,750,0.02,15,7,0.5,,48,separate
PER-CHAT,26941,108,17344,64.37771426450392,88.86111111111111,0.45217132922965486,48,12,tfidf,750,0.02,15,7,0.5,,48,separate
PersonaChat,981,5,559,56.98267074413863,84.4,0.6528191500792224,48,13,tfidf,750,0.04,30,30,1.0,,48,separate
SyntheticPersonaChat,1045,4,609,58.27751196172248,109.0,0.6930847846739941,48,13,tfidf,750,0.04,30,30,1.0,,48,separate
MSC,1898,8,1085,57.165437302423605,101.625,0.5685189073629685,48,13,tfidf,750,0.04,30,30,1.0,,48,separate
PEC,33064,129,13180,39.862085652068714,154.13953488372093,0.55680700489939,48,13,tfidf,750,0.04,30,30,1.0,,48,separate
FoCus,1270,7,605,47.63779527559055,95.0,0.431595936339781,48,13,tfidf,750,0.04,30,30,1.0,,48,separate
MPChat,4177,22,2207,52.836964328465406,89.54545454545455,0.46849287796272276,48,13,tfidf,750,0.04,30,30,1.0,,48,separate
PER-CHAT,26941,56,17703,65.71025574403325,164.96428571428572,0.528458628657346,48,13,tfidf,750,0.04,30,30,1.0,,48,separate
PersonaChat,981,14,425,43.323139653414884,39.714285714285715,0.45626416916663415,16,14,tfidf,750,0.02,15,10,0.7,,16,separate
SyntheticPersonaChat,1045,15,608,58.18181818181818,29.133333333333333,0.7301834266983199,16,14,tfidf,750,0.02,15,10,0.7,,16,separate
MSC,1898,21,1109,58.42992623814541,37.57142857142857,0.5188105453945883,16,14,tfidf,750,0.02,15,10,0.7,,16,separate
PEC,33064,210,19125,57.8423663198645,66.37619047619047,0.5208427993171721,16,14,tfidf,750,0.02,15,10,0.7,,16,separate
FoCus,1270,23,365,28.74015748031496,39.34782608695652,0.6241432838737617,16,14,tfidf,750,0.02,15,10,0.7,,16,separate
MPChat,4177,32,2353,56.33229590615274,57.0,0.4683078679123147,16,14,tfidf,750,0.02,15,10,0.7,,16,separate
PER-CHAT,26941,111,15312,56.83530678148547,104.76576576576576,0.4566689012324681,16,14,tfidf,750,0.02,15,10,0.7,,16,separate
PersonaChat,981,9,544,55.45361875637105,48.55555555555556,0.4937206045276495,16,15,tfidf,750,0.03,22,15,0.7,,16,separate
SyntheticPersonaChat,1045,9,601,57.51196172248804,49.333333333333336,0.6063860151984737,16,15,tfidf,750,0.03,22,15,0.7,,16,separate
MSC,1898,16,1146,60.37934668071654,47.0,0.4768682459025596,16,15,tfidf,750,0.03,22,15,0.7,,16,separate
PEC,33064,147,18880,57.10137914347931,96.48979591836735,0.516574928801007,16,15,tfidf,750,0.03,22,15,0.7,,16,separate
FoCus,1270,18,480,37.79527559055118,43.888888888888886,0.6469034183462038,16,15,tfidf,750,0.03,22,15,0.7,,16,separate
MPChat,4177,25,1403,33.588700023940625,110.96,0.5195580475012207,16,15,tfidf,750,0.03,22,15,0.7,,16,separate
PER-CHAT,26941,79,15194,56.397312646152706,148.69620253164558,0.46063618709834236,16,15,tfidf,750,0.03,22,15,0.7,,16,separate
PersonaChat,981,2,771,78.59327217125383,105.0,0.23670290410518646,16,16,dense,750,0.04,30,30,1.0,,16,separate
SyntheticPersonaChat,1045,2,877,83.92344497607655,84.0,0.3339495360851288,16,16,dense,750,0.04,30,30,1.0,,16,separate
MSC,1898,2,1465,77.18651211801897,216.5,0.22235463559627533,16,16,dense,750,0.04,30,30,1.0,,16,separate
PEC,33064,5,32077,97.0148802322768,197.4,0.2673693001270294,16,16,dense,750,0.04,30,30,1.0,,16,separate
FoCus,1270,3,984,77.48031496062993,95.33333333333333,0.268468976020813,16,16,dense,750,0.04,30,30,1.0,,16,separate
MPChat,4177,4,3729,89.27459899449366,112.0,0.29904407262802124,16,16,dense,750,0.04,30,30,1.0,,16,separate
PER-CHAT,26941,7,23497,87.21651015181322,492.0,0.3243292272090912,16,16,dense,750,0.04,30,30,1.0,,16,separate
PersonaChat,426,2,306,71.83098591549296,60.0,0.19445918500423431,16,17,dense,200,0.1,20,14,0.7,,16,separate
SyntheticPersonaChat,475,2,343,72.21052631578947,66.0,0.23153311014175415,16,17,dense,200,0.1,20,14,0.7,,16,separate
MSC,718,2,471,65.59888579387186,123.5,0.17296762764453888,16,17,dense,200,0.1,20,14,0.7,,16,separate
PEC,11258,4,10591,94.07532421389234,166.75,0.17051999270915985,16,17,dense,200,0.1,20,14,0.7,,16,separate
FoCus,495,2,323,65.25252525252525,86.0,0.22203423082828522,16,17,dense,200,0.1,20,14,0.7,,16,separate
MPChat,1462,3,1225,83.78932968536252,79.0,0.323780357837677,16,17,dense,200,0.1,20,14,0.7,,16,separate
PER-CHAT,8359,6,6865,82.1270486900347,249.0,0.34380510449409485,16,17,dense,200,0.1,20,14,0.7,,16,separate
PersonaChat,692,2,557,80.49132947976878,67.5,0.16817884147167206,32,18,dense,400,0.05,20,20,1.0,,32,separate
SyntheticPersonaChat,759,2,634,83.53096179183136,62.5,0.23920778930187225,32,18,dense,400,0.05,20,20,1.0,,32,separate
MSC,1245,3,1042,83.69477911646587,67.66666666666667,0.21840769052505493,32,18,dense,400,0.05,20,20,1.0,,32,separate
PEC,20479,2,19064,93.090482933737,707.5,0.10673379898071289,32,18,dense,400,0.05,20,20,1.0,,32,separate
FoCus,813,2,674,82.90282902829028,69.5,0.19600872695446014,32,18,dense,400,0.05,20,20,1.0,,32,separate
MPChat,2597,5,2265,87.21601848286484,66.4,0.22607764601707458,32,18,dense,400,0.05,20,20,1.0,,32,separate
PER-CHAT,15536,5,13323,85.75566426364573,442.6,0.29893916845321655,32,18,dense,400,0.05,20,20,1.0,,32,separate
PersonaChat,426,12,237,55.633802816901415,15.75,0.2169088509049914,32,19,hybrid,200,0.04,8,8,1.0,0.7,32,separate
SyntheticPersonaChat,475,14,266,56.00000000000001,14.928571428571429,0.26829333667074645,32,19,hybrid,200,0.04,8,8,1.0,0.7,32,separate
MSC,718,23,420,58.495821727019504,12.956521739130435,0.36084550750245686,32,19,hybrid,200,0.04,8,8,1.0,0.7,32,separate
PEC,11258,59,6074,53.952744714869425,87.86440677966101,0.22036783751956376,32,19,hybrid,200,0.04,8,8,1.0,0.7,32,separate
FoCus,495,13,250,50.505050505050505,18.846153846153847,0.2865447013517936,32,19,hybrid,200,0.04,8,8,1.0,0.7,32,separate
MPChat,1462,32,851,58.20793433652531,19.09375,0.3500849709189991,32,19,hybrid,200,0.04,8,8,1.0,0.7,32,separate
PER-CHAT,8359,37,5969,71.40806316545041,64.5945945945946,0.30511582016294053,32,19,hybrid,200,0.04,8,8,1.0,0.7,32,separate
PersonaChat,692,0,692,100.0,0.0,-1.0,48,20,dense,400,0.1,40,40,1.0,,48,separate
SyntheticPersonaChat,759,0,759,100.0,0.0,-1.0,48,20,dense,400,0.1,40,40,1.0,,48,separate
MSC,1245,2,1130,90.76305220883533,57.5,0.19598086178302765,48,20,dense,400,0.1,40,40,1.0,,48,separate
PEC,20479,2,19718,96.28399824210166,380.5,0.11892841756343842,48,20,dense,400,0.1,40,40,1.0,,48,separate
FoCus,813,0,813,100.0,0.0,-1.0,48,20,dense,400,0.1,40,40,1.0,,48,separate
MPChat,2597,2,2326,89.5648825567963,135.5,0.142672598361969,48,20,dense,400,0.1,40,40,1.0,,48,separate
PER-CHAT,15536,4,13872,89.28939237899073,416.0,0.29062914848327637,48,20,dense,400,0.1,40,40,1.0,,48,separate
PersonaChat,574,6,338,58.88501742160279,39.333333333333336,0.4554992457698281,48,21,tfidf,300,0.05,15,10,0.7,,48,separate
SyntheticPersonaChat,631,7,320,50.71315372424723,44.42857142857143,0.42577495505781743,48,21,tfidf,300,0.05,15,10,0.7,,48,separate
MSC,976,10,461,47.23360655737705,51.5,0.4024819142038558,48,21,tfidf,300,0.05,15,10,0.7,,48,separate
PEC,15829,141,6848,43.262366542422136,63.695035460992905,0.49839434030947066,48,21,tfidf,300,0.05,15,10,0.7,,48,separate
FoCus,676,9,265,39.201183431952664,45.666666666666664,0.39882268487117967,48,21,tfidf,300,0.05,15,10,0.7,,48,separate
MPChat,1903,30,1015,53.336836573830794,29.6,0.32551235002533896,48,21,tfidf,300,0.05,15,10,0.7,,48,separate
PER-CHAT,12212,55,7547,61.799868981329844,84.81818181818181,0.5292366916608384,48,21,tfidf,300,0.05,15,10,0.7,,48,separate
PersonaChat,786,4,606,77.09923664122137,45.0,0.16379784047603607,32,22,dense,500,0.03,15,10,0.7,,32,separate
SyntheticPersonaChat,864,4,717,82.98611111111111,36.75,0.1910720020532608,32,22,dense,500,0.03,15,10,0.7,,32,separate
MSC,1455,4,1283,88.1786941580756,43.0,0.2288302779197693,32,22,dense,500,0.03,15,10,0.7,,32,separate
PEC,24320,12,23405,96.23766447368422,76.25,0.16758319735527039,32,22,dense,500,0.03,15,10,0.7,,32,separate
FoCus,950,4,659,69.36842105263158,72.75,0.14445637166500092,32,22,dense,500,0.03,15,10,0.7,,32,separate
MPChat,3015,7,2616,86.76616915422886,57.0,0.1845550537109375,32,22,dense,500,0.03,15,10,0.7,,32,separate
PER-CHAT,19148,8,16711,87.27282222686442,304.625,0.26422786712646484,32,22,dense,500,0.03,15,10,0.7,,32,separate
PersonaChat,692,2,393,56.79190751445087,149.5,0.6504729516771265,32,23,tfidf,400,0.1,40,40,1.0,,32,separate
SyntheticPersonaChat,759,2,350,46.113306982872196,204.5,0.63080938022076,32,23,tfidf,400,0.1,40,40,1.0,,32,separate
MSC,1245,3,605,48.59437751004016,213.33333333333334,0.5401064419136478,32,23,tfidf,400,0.1,40,40,1.0,,32,separate
PEC,20479,70,6375,31.129449680160164,201.4857142857143,0.5097604263811657,32,23,tfidf,400,0.1,40,40,1.0,,32,separate
FoCus,813,5,345,42.435424354243544,93.6,0.4642784080941019,32,23,tfidf,400,0.1,40,40,1.0,,32,separate
MPChat,2597,10,1600,61.60954948016942,99.7,0.5747700981064999,32,23,tfidf,400,0.1,40,40,1.0,,32,separate
PER-CHAT,15536,33,9063,58.3354788877446,196.15151515151516,0.5692516993884559,32,23,tfidf,400,0.1,40,40,1.0,,32,separate
PersonaChat,786,2,599,76.20865139949109,93.5,0.1542823314666748,32,24,dense,500,0.05,25,12,0.5,,32,separate
SyntheticPersonaChat,864,2,687,79.51388888888889,88.5,0.2059626579284668,32,24,dense,500,0.05,25,12,0.5,,32,separate
MSC,1455,3,1312,90.17182130584193,47.666666666666664,0.1625666618347168,32,24,dense,500,0.05,25,12,0.5,,32,separate
PEC,24320,7,23306,95.83059210526315,144.85714285714286,0.14508360624313354,32,24,dense,500,0.05,25,12,0.5,,32,separate
FoCus,950,4,710,74.73684210526315,60.0,0.1664828658103943,32,24,dense,500,0.05,25,12,0.5,,32,separate
MPChat,3015,5,2672,88.62354892205639,68.6,0.24230188131332397,32,24,dense,500,0.05,25,12,0.5,,32,separate
PER-CHAT,19148,7,16477,86.05076248172134,381.57142857142856,0.24687589704990387,32,24,dense,500,0.05,25,12,0.5,,32,separate
PersonaChat,426,2,367,86.15023474178403,29.5,0.0984937478219764,48,25,hybrid,200,0.05,10,10,1.0,0.5,48,separate
SyntheticPersonaChat,475,2,433,91.15789473684211,21.0,0.17928630554806702,48,25,hybrid,200,0.05,10,10,1.0,0.5,48,separate
MSC,718,5,625,87.04735376044567,18.6,0.12723054917534782,48,25,hybrid,200,0.05,10,10,1.0,0.5,48,separate
PEC,11258,49,8327,73.96518031621959,59.816326530612244,0.30046978999616236,48,25,hybrid,200,0.05,10,10,1.0,0.5,48,separate
FoCus,495,2,391,78.98989898989899,52.0,-0.02115724098435465,48,25,hybrid,200,0.05,10,10,1.0,0.5,48,separate
MPChat,1462,17,1167,79.82216142270862,17.352941176470587,0.16981333375623295,48,25,hybrid,200,0.05,10,10,1.0,0.5,48,separate
PER-CHAT,8359,33,7413,88.68285680105275,28.666666666666668,0.1363533177951956,48,25,hybrid,200,0.05,10,10,1.0,0.5,48,separate
PersonaChat,786,7,503,63.99491094147582,40.42857142857143,0.5545992879962457,32,26,tfidf,500,0.04,20,14,0.7,,32,separate
SyntheticPersonaChat,864,6,347,40.16203703703704,86.16666666666667,0.6118589604489771,32,26,tfidf,500,0.04,20,14,0.7,,32,separate
MSC,1455,12,662,45.49828178694158,66.08333333333333,0.5221710095340577,32,26,tfidf,500,0.04,20,14,0.7,,32,separate
PEC,24320,141,10351,42.561677631578945,99.0709219858156,0.5201328303220327,32,26,tfidf,500,0.04,20,14,0.7,,32,separate
FoCus,950,12,344,36.21052631578948,50.5,0.6051445398625249,32,26,tfidf,500,0.04,20,14,0.7,,32,separate
MPChat,3015,32,1314,43.582089552238806,53.15625,0.4813358678667838,32,26,tfidf,500,0.04,20,14,0.7,,32,separate
PER-CHAT,19148,54,11391,59.489241696260706,143.64814814814815,0.5041736730605976,32,26,tfidf,500,0.04,20,14,0.7,,32,separate
PersonaChat,692,22,288,41.61849710982659,18.363636363636363,0.5994020306214496,16,27,tfidf,400,0.02,8,5,0.7,,16,separate
SyntheticPersonaChat,759,25,307,40.44795783926219,18.08,0.652365391168063,16,27,tfidf,400,0.02,8,5,0.7,,16,separate
MSC,1245,29,627,50.36144578313253,21.310344827586206,0.5200864875684043,16,27,tfidf,400,0.02,8,5,0.7,,16,separate
PEC,20479,274,13179,64.35372820938522,26.642335766423358,0.5198121897719415,16,27,tfidf,400,0.02,8,5,0.7,,16,separate
FoCus,813,25,221,27.183271832718326,23.68,0.6643629001783713,16,27,tfidf,400,0.02,8,5,0.7,,16,separate
MPChat,2597,43,1443,55.5641124374278,26.837209302325583,0.44147328369869787,16,27,tfidf,400,0.02,8,5,0.7,,16,separate
PER-CHAT,15536,154,7423,47.779351184346034,52.68181818181818,0.3949211117961318,16,27,tfidf,400,0.02,8,5,0.7,,16,separate
PersonaChat,692,2,620,89.59537572254335,36.0,0.11078305215355717,48,28,hybrid,400,0.04,16,16,1.0,0.5,48,separate
SyntheticPersonaChat,759,0,759,100.0,0.0,-1.0,48,28,hybrid,400,0.04,16,16,1.0,0.5,48,separate
MSC,1245,4,1116,89.63855421686748,32.25,0.09028875689460296,48,28,hybrid,400,0.04,16,16,1.0,0.5,48,separate
PEC,20479,50,16079,78.51457590702671,88.0,0.31390210443649147,48,28,hybrid,400,0.04,16,16,1.0,0.5,48,separate
FoCus,813,3,708,87.08487084870849,35.0,0.1630158643936069,48,28,hybrid,400,0.04,16,16,1.0,0.5,48,separate
MPChat,2597,8,2349,90.45051983057374,31.0,0.22068968023804478,48,28,hybrid,400,0.04,16,16,1.0,0.5,48,separate
PER-CHAT,15536,31,13775,88.66503604531411,56.806451612903224,0.20447227647611407,48,28,hybrid,400,0.04,16,16,1.0,0.5,48,separate
PersonaChat,426,2,347,81.45539906103286,39.5,0.11503289867831656,16,29,hybrid,200,0.1,20,10,0.5,0.3,16,separate
SyntheticPersonaChat,475,0,475,100.0,0.0,-1.0,16,29,hybrid,200,0.1,20,10,0.5,0.3,16,separate
MSC,718,2,481,66.991643454039,118.5,0.09068719915147515,16,29,hybrid,200,0.1,20,10,0.5,0.3,16,separate
PEC,11258,2,9443,83.87813110676852,907.5,0.18227434746657242,16,29,hybrid,200,0.1,20,10,0.5,0.3,16,separate
FoCus,495,2,410,82.82828282828282,42.5,0.09832352014575099,16,29,hybrid,200,0.1,20,10,0.5,0.3,16,separate
MPChat,1462,5,1221,83.515731874145,48.2,0.19596451613910584,16,29,hybrid,200,0.1,20,10,0.5,0.3,16,separate
PER-CHAT,8359,8,7520,89.96291422418949,104.875,0.2450782051395314,16,29,hybrid,200,0.1,20,10,0.5,0.3,16,separate
PersonaChat,426,12,180,42.25352112676056,20.5,0.3964774841062605,48,30,tfidf,200,0.05,10,5,0.5,,48,separate
SyntheticPersonaChat,475,10,161,33.89473684210526,31.4,0.007878673707979627,48,30,tfidf,200,0.05,10,5,0.5,,48,separate
MSC,718,16,255,35.515320334261844,28.9375,0.333481849553949,48,30,tfidf,200,0.05,10,5,0.5,,48,separate
PEC,11258,176,5810,51.607745603126666,30.954545454545453,0.46359461204379565,48,30,tfidf,200,0.05,10,5,0.5,,48,separate
